equipment_id,equipment_name,category,subcategory,manufacturer,model_number,serial_number,purchase_date,warranty_expiry,acquisition_cost,current_value,depreciation_rate,location,department_id,room_id,operational_status,last_maintenance_date,next_maintenance_date,maintenance_frequency,vendor_contact,vendor_phone,calibration_required,calibration_date,fda_approval_number,safety_inspection_date,usage_hours_total,usage_hours_monthly,energy_consumption_kwh,weight_kg,dimensions_lwh_cm,installation_date,training_required,certification_level,replacement_due_date
EQP001,Ventilator System,Life Support,Ventilation,Draeger,Evita V500,DRG2024001,2023-01-15,2028-01-15,85000,68000,0.2,ICU Room 301,002,R301,Operational,2024-02-15,2024-05-15,Quarterly,MedEquip Solutions,555-1001,Yes,2024-01-10,FDA510K123456,2024-01-20,8760,720,1.5,125,"80x60x150",2023-01-20,Yes,Level 3,2033-01-15
EQP002,Cardiac Monitor,Monitoring,Vital Signs,Philips,IntelliVue MX800,PHI2023045,2023-03-20,2028-03-20,25000,20000,0.2,Emergency Room 1,001,R101,Operational,2024-01-25,2024-04-25,Quarterly,Philips Healthcare,555-1002,Yes,2024-01-15,FDA510K789012,2024-02-01,6570,550,0.8,15,"35x30x25",2023-03-22,Yes,Level 2,2031-03-20
EQP003,MRI Machine,Imaging,Magnetic Resonance,Siemens,MAGNETOM Skyra,SIE2022078,2022-06-10,2027-06-10,2800000,2240000,0.2,Radiology Suite A,010,R201,Operational,2024-03-01,2024-06-01,Quarterly,Siemens Healthineers,555-1003,Yes,2024-02-20,FDA510K345678,2024-02-25,4380,365,45.0,6500,"260x250x200",2022-06-15,Yes,Level 4,2037-06-10
EQP004,CT Scanner,Imaging,Computed Tomography,GE Healthcare,Revolution CT,GEH2023112,2023-08-05,2028-08-05,1200000,960000,0.2,Radiology Suite B,010,R202,Operational,2024-02-10,2024-05-10,Quarterly,GE Healthcare,555-1004,Yes,2024-01-30,FDA510K567890,2024-02-15,3650,300,25.0,3200,"220x180x160",2023-08-08,Yes,Level 4,2035-08-05
EQP005,Ultrasound Machine,Imaging,Sonography,Mindray,DC-70,MIN2023087,2023-05-12,2028-05-12,120000,96000,0.2,OB-GYN Room 5,006,R605,Operational,2024-01-18,2024-04-18,Quarterly,Mindray Medical,555-1005,Yes,2024-01-12,FDA510K234567,2024-01-25,2920,240,0.6,85,"60x45x140",2023-05-15,Yes,Level 2,2031-05-12
EQP006,Anesthesia Machine,Surgical,Anesthesia,Draeger,Perseus A500,DRG2023156,2023-09-22,2028-09-22,95000,76000,0.2,OR Suite 3,009,R903,Operational,2024-02-28,2024-05-28,Quarterly,MedEquip Solutions,555-1001,Yes,2024-02-10,FDA510K345789,2024-02-20,1460,120,2.2,180,"100x70x160",2023-09-25,Yes,Level 3,2033-09-22
EQP007,X-Ray Machine,Imaging,Radiography,Philips,DigitalDiagnost C90,PHI2022134,2022-11-18,2027-11-18,180000,126000,0.3,Radiology Room 3,010,R203,Operational,2024-01-22,2024-04-22,Quarterly,Philips Healthcare,555-1002,Yes,2024-01-08,FDA510K456890,2024-01-30,5840,480,8.5,850,"150x120x180",2022-11-20,Yes,Level 3,2032-11-18
EQP008,Dialysis Machine,Treatment,Renal Care,Fresenius,4008S,FRE2023201,2023-07-14,2028-07-14,65000,52000,0.2,Dialysis Unit,016,R416,Operational,2024-02-05,2024-05-05,Monthly,Fresenius Medical,555-1006,Yes,2024-01-20,FDA510K678901,2024-02-08,2190,180,3.5,120,"80x60x140",2023-07-17,Yes,Level 2,2031-07-14
EQP009,Defibrillator,Emergency,Resuscitation,Zoll,X Series,ZOL2023098,2023-04-08,2028-04-08,28000,22400,0.2,Emergency Room 2,001,R102,Operational,2024-03-05,2024-06-05,Quarterly,Zoll Medical,555-1007,Yes,2024-02-25,FDA510K789012,2024-03-01,1095,90,0.3,8,"30x25x15",2023-04-10,Yes,Level 2,2031-04-08
EQP010,Infusion Pump,Medication,IV Therapy,Baxter,Sigma Spectrum,BAX2023145,2023-06-25,2028-06-25,8500,6800,0.2,ICU Room 302,002,R302,Operational,2024-01-15,2024-04-15,Quarterly,Baxter Healthcare,555-1008,Yes,2024-01-05,FDA510K890123,2024-01-18,4380,365,0.1,3,"25x20x30",2023-06-28,No,Level 1,2029-06-25
EQP011,Patient Monitor,Monitoring,Vital Signs,GE Healthcare,CARESCAPE B850,GEH2023189,2023-10-03,2028-10-03,18000,14400,0.2,Pediatrics Room 8,005,R508,Operational,2024-02-12,2024-05-12,Quarterly,GE Healthcare,555-1004,Yes,2024-01-28,FDA510K901234,2024-02-05,2555,210,0.5,12,"40x30x35",2023-10-05,Yes,Level 2,2031-10-03
EQP012,Surgical Table,Surgical,Operating,Steris,5085 SRT,STE2022067,2022-12-08,2027-12-08,45000,27000,0.4,OR Suite 1,009,R901,Operational,2024-03-08,2024-06-08,Semi-Annual,Steris Corporation,555-1009,No,,FDA510K012345,2024-03-10,8760,720,0.8,250,"200x80x100",2022-12-10,Yes,Level 2,2032-12-08
EQP013,Endoscope,Diagnostic,Gastrointestinal,Olympus,CV-190,OLY2023234,2023-02-16,2028-02-16,85000,68000,0.2,GI Procedure Room,016,R416,Operational,2024-01-30,2024-04-30,Monthly,Olympus Medical,555-1010,Yes,2024-01-22,FDA510K123789,2024-02-03,1825,150,0.2,5,"150x10x10",2023-02-18,Yes,Level 3,2031-02-16
EQP014,Blood Gas Analyzer,Laboratory,Blood Testing,Radiometer,ABL90 FLEX,RAD2023078,2023-01-28,2028-01-28,55000,44000,0.2,Laboratory Station 3,011,R701,Operational,2024-02-20,2024-05-20,Monthly,Radiometer America,555-1011,Yes,2024-02-01,FDA510K234890,2024-02-10,6570,540,1.2,45,"60x50x80",2023-01-30,Yes,Level 2,2031-01-28
EQP015,Autoclave,Sterilization,Steam,Tuttnauer,3870EA,TUT2022145,2022-08-12,2027-08-12,25000,15000,0.4,Central Sterile,009,R910,Operational,2024-03-15,2024-06-15,Monthly,Tuttnauer USA,555-1012,Yes,2024-03-01,FDA510K345901,2024-03-12,4380,360,15.0,180,"120x80x100",2022-08-15,Yes,Level 2,2032-08-12
EQP016,Mammography Unit,Imaging,Breast Screening,Hologic,Selenia Dimensions,HOL2023123,2023-11-10,2028-11-10,450000,360000,0.2,Women's Imaging,006,R606,Operational,2024-01-12,2024-04-12,Quarterly,Hologic Inc,555-1013,Yes,2024-01-05,FDA510K456012,2024-01-15,1460,120,12.0,1200,"180x150x220",2023-11-12,Yes,Level 3,2033-11-10
EQP017,Ophthalmoscope,Diagnostic,Eye Examination,Welch Allyn,PanOptic,WEL2023067,2023-04-22,2028-04-22,1200,960,0.2,Ophthalmology Room 2,020,R820,Operational,2024-03-20,2024-06-20,Semi-Annual,Welch Allyn,555-1014,No,,FDA510K567123,2024-03-18,730,60,0.0,0.5,"20x15x10",2023-04-24,No,Level 1,2029-04-22
EQP018,Centrifuge,Laboratory,Sample Processing,Eppendorf,5810R,EPP2023089,2023-07-30,2028-07-30,12000,9600,0.2,Laboratory Station 1,011,R701,Operational,2024-02-25,2024-05-25,Quarterly,Eppendorf North America,555-1015,Yes,2024-02-15,FDA510K678234,2024-02-22,2190,180,2.5,65,"50x40x60",2023-08-01,Yes,Level 2,2031-07-30
EQP019,Wheelchair,Mobility,Patient Transport,Invacare,Tracer EX2,INV2023156,2023-05-05,2026-05-05,800,560,0.3,General Supply,001,STOR1,Operational,2024-03-01,2024-09-01,Semi-Annual,Invacare Corporation,555-1016,No,,FDA510K789345,2024-03-05,2920,240,0.0,25,"110x65x95",2023-05-07,No,Level 1,2026-05-05
EQP020,Pulse Oximeter,Monitoring,Oxygen Saturation,Masimo,Radical-7,MAS2023178,2023-08-18,2028-08-18,4500,3600,0.2,Emergency Room 3,001,R103,Operational,2024-01-08,2024-04-08,Quarterly,Masimo Corporation,555-1017,Yes,2024-01-02,FDA510K890456,2024-01-10,2190,180,0.1,2,"15x12x8",2023-08-20,No,Level 1,2029-08-18
EQP021,Ophthalmology Laser,Treatment,Eye Surgery,Alcon,LenSx,ALC2022234,2022-09-14,2027-09-14,750000,450000,0.4,Ophthalmology OR,020,R821,Operational,2024-02-18,2024-05-18,Quarterly,Alcon Laboratories,555-1018,Yes,2024-02-05,FDA510K901567,2024-02-15,1825,150,8.0,450,"120x80x140",2022-09-16,Yes,Level 4,2032-09-14
EQP022,Laboratory Refrigerator,Storage,Sample Storage,Thermo Fisher,TSX Series,THE2023067,2023-03-12,2028-03-12,8500,6800,0.2,Laboratory Storage,011,R702,Operational,2024-03-10,2024-06-10,Quarterly,Thermo Fisher Scientific,555-1019,Yes,2024-02-28,FDA510K012678,2024-03-08,8760,720,3.2,85,"60x60x180",2023-03-14,No,Level 1,2031-03-12
EQP023,Electrocautery Unit,Surgical,Tissue Cutting,Medtronic,ForceTriad,MED2023145,2023-06-08,2028-06-08,35000,28000,0.2,OR Suite 2,009,R902,Operational,2024-01-28,2024-04-28,Quarterly,Medtronic Inc,555-1020,Yes,2024-01-18,FDA510K123890,2024-01-25,1825,150,1.8,45,"50x40x100",2023-06-10,Yes,Level 2,2031-06-08
EQP024,Pharmacy Robot,Automation,Medication Dispensing,Omnicell,XT Series,OMN2023089,2023-09-15,2028-09-15,180000,144000,0.2,Central Pharmacy,012,R512,Operational,2024-02-08,2024-05-08,Monthly,Omnicell Inc,555-1021,Yes,2024-01-25,FDA510K234901,2024-02-05,5475,450,12.0,850,"200x150x220",2023-09-18,Yes,Level 3,2033-09-15
EQP025,Spirometer,Pulmonary,Lung Function,CareFusion,MasterScreen PFT,CAR2023178,2023-11-25,2028-11-25,45000,36000,0.2,Pulmonology Lab,017,R717,Operational,2024-03-05,2024-06-05,Quarterly,CareFusion Corp,555-1022,Yes,2024-02-20,FDA510K345012,2024-03-02,1095,90,0.8,25,"40x30x50",2023-11-27,Yes,Level 2,2031-11-25
EQP026,Fetal Monitor,Monitoring,Obstetric,Philips,Avalon FM50,PHI2023267,2023-07-03,2028-07-03,28000,22400,0.2,Labor and Delivery 1,006,R601,Operational,2024-02-15,2024-05-15,Quarterly,Philips Healthcare,555-1002,Yes,2024-02-01,FDA510K456123,2024-02-12,2190,180,0.6,15,"35x30x40",2023-07-05,Yes,Level 2,2031-07-03
EQP027,Arthroscope,Surgical,Joint Surgery,Smith & Nephew,DYONICS Power II,SMI2023156,2023-04-18,2028-04-18,65000,52000,0.2,OR Suite 4,004,R404,Operational,2024-03-12,2024-06-12,Quarterly,Smith & Nephew,555-1023,Yes,2024-02-28,FDA510K567234,2024-03-10,1460,120,1.2,25,"80x40x60",2023-04-20,Yes,Level 3,2031-04-18
EQP028,Hyperbaric Chamber,Treatment,Oxygen Therapy,Sechrist,Model 3200,SEC2022089,2022-10-22,2027-10-22,350000,210000,0.4,Hyperbaric Unit,017,R718,Operational,2024-01-20,2024-04-20,Monthly,Sechrist Industries,555-1024,Yes,2024-01-10,FDA510K678345,2024-01-18,2920,240,25.0,2500,"300x200x200",2022-10-25,Yes,Level 4,2032-10-22
EQP029,EEG Machine,Monitoring,Brain Activity,Nihon Kohden,Neurofax EEG-1200,NIH2023134,2023-08-28,2028-08-28,55000,44000,0.2,Neurology Lab,008,R308,Operational,2024-02-22,2024-05-22,Quarterly,Nihon Kohden America,555-1025,Yes,2024-02-10,FDA510K789456,2024-02-20,1825,150,1.5,35,"60x50x40",2023-08-30,Yes,Level 2,2031-08-28
EQP030,Blood Bank Refrigerator,Storage,Blood Products,Helmer Scientific,Horizon Series,HEL2023201,2023-01-20,2028-01-20,15000,12000,0.2,Blood Bank,011,R703,Operational,2024-03-18,2024-06-18,Monthly,Helmer Scientific,555-1026,Yes,2024-03-01,FDA510K890567,2024-03-15,8760,720,4.5,120,"80x70x190",2023-01-22,No,Level 1,2031-01-20
