equipment_id,equipment_name,category,subcategory,manufacturer,model_number,serial_number,purchase_date,warranty_expiry,acquisition_cost,current_value,depreciation_rate,location,department_id,building_id,operational_status,last_maintenance_date,next_maintenance_date,maintenance_frequency,vendor_contact,vendor_phone,calibration_required,calibration_date,usage_hours_total,usage_hours_monthly,installation_date,training_required,replacement_due_date,grant_funded,research_usage
EQP001,High-Performance Computing Cluster,Computing,Servers,Dell,PowerEdge R750,DELL2024001,2024-01-15,2027-01-15,485000,388000,0.2,Server Room,DEPT001,BLDG001,Operational,2024-02-15,2024-05-15,Quarterly,Dell Technologies,555-5001,No,,8760,720,2024-01-20,Yes,2029-01-15,Yes,Yes
EQP002,Fluorescence Microscope,Laboratory,Microscopy,Zeiss,Axio Observer,ZEISS2024002,2024-03-20,2027-03-20,125000,100000,0.2,Biology Lab,DEPT002,BLDG002,Operational,2024-03-25,2024-06-25,Quarterly,Carl Zeiss,555-5002,Yes,2024-03-15,2190,180,2024-03-22,Yes,2031-03-20,Yes,Yes
EQP003,3D Printer,Manufacturing,Additive,Stratasys,Fortus 450mc,STRA2024003,2023-06-10,2026-06-10,185000,129500,0.3,Engineering Lab,DEPT006,BLDG006,Operational,2024-03-01,2024-06-01,Quarterly,Stratasys Ltd,555-5003,No,,4380,365,2023-06-15,Yes,2030-06-10,Yes,Yes
EQP004,NMR Spectrometer,Laboratory,Analytical,Bruker,AVANCE III,BRUK2024004,2023-08-05,2026-08-05,385000,269500,0.3,Chemistry Lab,DEPT007,BLDG002,Operational,2024-02-10,2024-05-10,Quarterly,Bruker Corporation,555-5004,Yes,2024-01-30,3650,300,2023-08-08,Yes,2033-08-05,Yes,Yes
EQP005,Interactive Whiteboard,Educational,Presentation,SMART Technologies,SMART Board 7000,SMRT2024005,2023-05-12,2026-05-12,8500,5950,0.3,Classroom 201,DEPT003,BLDG003,Operational,2024-01-18,2024-04-18,Semi-Annual,SMART Technologies,555-5005,No,,2920,240,2023-05-15,Yes,2028-05-12,No,No
EQP006,Confocal Microscope,Laboratory,Microscopy,Leica,TCS SP8,LEIC2024006,2023-09-22,2026-09-22,295000,206500,0.3,Advanced Biology Lab,DEPT002,BLDG002,Operational,2024-02-28,2024-05-28,Quarterly,Leica Microsystems,555-5006,Yes,2024-02-10,1460,120,2023-09-25,Yes,2033-09-22,Yes,Yes
EQP007,Wind Tunnel,Testing,Aerodynamics,Aerolab,1.5m x 1.5m,AERO2024007,2022-11-18,2025-11-18,450000,270000,0.4,Aerodynamics Lab,DEPT006,BLDG006,Operational,2024-01-22,2024-04-22,Quarterly,Aerolab LLC,555-5007,Yes,2024-01-08,5840,480,2022-11-20,Yes,2032-11-18,Yes,Yes
EQP008,DNA Sequencer,Laboratory,Genomics,Illumina,NovaSeq 6000,ILLU2024008,2023-07-14,2026-07-14,485000,339500,0.3,Genomics Lab,DEPT002,BLDG002,Operational,2024-02-05,2024-05-05,Monthly,Illumina Inc,555-5008,Yes,2024-01-20,2190,180,2023-07-17,Yes,2031-07-14,Yes,Yes
EQP009,Oscilloscope,Electronic,Measurement,Keysight,InfiniiVision 4000,KEYS2024009,2023-04-08,2026-04-08,15000,10500,0.3,Electronics Lab,DEPT006,BLDG006,Operational,2024-03-05,2024-06-05,Quarterly,Keysight Technologies,555-5009,Yes,2024-02-25,1095,90,2023-04-10,Yes,2028-04-08,No,Yes
EQP010,Laser Cutter,Manufacturing,Cutting,Epilog,Fusion Pro 48,EPIL2024010,2023-06-25,2026-06-25,25000,17500,0.3,Maker Space,DEPT011,BLDG009,Operational,2024-01-15,2024-04-15,Quarterly,Epilog Laser,555-5010,No,,4380,365,2023-06-28,Yes,2028-06-25,No,Yes
EQP011,Spectrometer,Laboratory,Analytical,Thermo Fisher,Evolution 220,THER2024011,2023-10-03,2026-10-03,45000,31500,0.3,Chemistry Lab,DEPT007,BLDG002,Operational,2024-02-12,2024-05-12,Quarterly,Thermo Fisher Scientific,555-5011,Yes,2024-01-28,2555,210,2023-10-05,Yes,2030-10-03,Yes,Yes
EQP012,Centrifuge,Laboratory,Separation,Eppendorf,5810R,EPPEN2024012,2022-12-08,2025-12-08,18000,9000,0.5,Biology Lab,DEPT002,BLDG002,Operational,2024-03-08,2024-06-08,Quarterly,Eppendorf North America,555-5012,Yes,2024-02-15,8760,720,2022-12-10,Yes,2027-12-08,No,Yes
EQP013,Autoclave,Laboratory,Sterilization,Tuttnauer,3870EA,TUTT2024013,2023-02-16,2026-02-16,22000,15400,0.3,Biology Lab,DEPT002,BLDG002,Operational,2024-01-30,2024-04-30,Monthly,Tuttnauer USA,555-5013,Yes,2024-01-22,1825,150,2023-02-18,Yes,2028-02-16,No,Yes
EQP014,Plasma Cutter,Manufacturing,Cutting,Hypertherm,Powermax 105,HYPE2024014,2023-01-28,2026-01-28,8500,5950,0.3,Fabrication Lab,DEPT006,BLDG006,Operational,2024-02-20,2024-05-20,Quarterly,Hypertherm Inc,555-5014,No,,6570,540,2023-01-30,Yes,2028-01-28,No,Yes
EQP015,Projector,Educational,Presentation,Epson,PowerLite Pro L1755U,EPSO2024015,2022-08-12,2025-08-12,5500,2750,0.5,Auditorium,DEPT004,BLDG004,Operational,2024-03-15,2024-06-15,Semi-Annual,Epson America,555-5015,No,,4380,360,2022-08-15,No,2027-08-12,No,No
EQP016,Pottery Kiln,Arts,Ceramics,Olympic,Model 2327,OLYM2024016,2023-11-10,2026-11-10,8500,5950,0.3,Art Studio,DEPT011,BLDG009,Operational,2024-01-12,2024-04-12,Quarterly,Olympic Kilns,555-5016,Yes,2024-01-05,1460,120,2023-11-12,Yes,2028-11-10,No,No
EQP017,Sound Mixing Board,Audio,Recording,Yamaha,DM2000,YAMA2024017,2023-04-22,2026-04-22,12000,8400,0.3,Music Studio,DEPT012,BLDG010,Operational,2024-03-20,2024-06-20,Quarterly,Yamaha Corporation,555-5017,Yes,2024-03-15,730,60,2023-04-24,Yes,2028-04-22,No,No
EQP018,Electron Microscope,Laboratory,Microscopy,FEI,Talos L120C,FEI2024018,2023-07-30,2026-07-30,185000,129500,0.3,Advanced Materials Lab,DEPT006,BLDG006,Operational,2024-02-25,2024-05-25,Monthly,Thermo Fisher Scientific,555-5018,Yes,2024-02-15,2190,180,2023-08-01,Yes,2031-07-30,Yes,Yes
EQP019,Welding Station,Manufacturing,Joining,Lincoln Electric,Power MIG 350MP,LINC2024019,2023-05-05,2026-05-05,4500,3150,0.3,Fabrication Lab,DEPT006,BLDG006,Operational,2024-03-01,2024-06-01,Quarterly,Lincoln Electric,555-5019,No,,2920,240,2023-05-07,Yes,2028-05-05,No,Yes
EQP020,Fume Hood,Laboratory,Safety,Labconco,Protector XStream,LABC2024020,2023-08-18,2026-08-18,15000,10500,0.3,Chemistry Lab,DEPT007,BLDG002,Operational,2024-01-08,2024-04-08,Quarterly,Labconco Corporation,555-5020,Yes,2024-01-02,2190,180,2023-08-20,Yes,2028-08-18,No,Yes
EQP021,Hydraulic Press,Manufacturing,Forming,Dake,Model 75H,DAKE2024021,2022-09-14,2025-09-14,12000,6000,0.5,Materials Lab,DEPT006,BLDG006,Operational,2024-02-18,2024-05-18,Quarterly,Dake Corporation,555-5021,Yes,2024-02-05,1825,150,2022-09-16,Yes,2027-09-14,No,Yes
EQP022,Vacuum Oven,Laboratory,Heating,Thermo Fisher,Heratherm OMS180,THER2024022,2023-03-12,2026-03-12,6500,4550,0.3,Materials Lab,DEPT006,BLDG006,Operational,2024-03-10,2024-06-10,Quarterly,Thermo Fisher Scientific,555-5022,Yes,2024-02-28,8760,720,2023-03-14,Yes,2028-03-12,No,Yes
EQP023,Sewing Machine,Arts,Textile,Bernina,B790 PLUS,BERN2024023,2023-06-08,2026-06-08,8500,5950,0.3,Textile Lab,DEPT011,BLDG009,Operational,2024-01-28,2024-04-28,Semi-Annual,Bernina USA,555-5023,No,,1825,150,2023-06-10,Yes,2028-06-08,No,No
EQP024,Robotic Arm,Manufacturing,Automation,ABB,IRB 1600,ABB2024024,2023-09-15,2026-09-15,85000,59500,0.3,Robotics Lab,DEPT006,BLDG006,Operational,2024-02-08,2024-05-08,Monthly,ABB Robotics,555-5024,Yes,2024-01-25,5475,450,2023-09-18,Yes,2028-09-15,Yes,Yes
EQP025,Incubator,Laboratory,Cell Culture,Thermo Fisher,Heratherm IM180,THER2024025,2023-11-25,2026-11-25,4500,3150,0.3,Cell Culture Lab,DEPT002,BLDG002,Operational,2024-03-05,2024-06-05,Quarterly,Thermo Fisher Scientific,555-5025,Yes,2024-02-20,1095,90,2023-11-27,Yes,2028-11-25,No,Yes
EQP026,Lighting System,Theater,Stage,ETC,ColorSource 40,ETC2024026,2023-07-03,2026-07-03,25000,17500,0.3,Main Theater,DEPT019,BLDG013,Operational,2024-02-15,2024-05-15,Quarterly,Electronic Theatre Controls,555-5026,No,,2190,180,2023-07-05,Yes,2028-07-03,No,No
EQP027,X-Ray Diffractometer,Laboratory,Crystallography,Rigaku,MiniFlex 600,RIGA2024027,2023-04-18,2026-04-18,65000,45500,0.3,Materials Lab,DEPT006,BLDG006,Operational,2024-03-12,2024-06-12,Quarterly,Rigaku Corporation,555-5027,Yes,2024-02-28,1460,120,2023-04-20,Yes,2030-04-18,Yes,Yes
EQP028,Greenhouse Climate Control,Agricultural,Environmental,Priva,Connext,PRIV2024028,2022-10-22,2025-10-22,35000,17500,0.5,Greenhouse,DEPT020,BLDG002,Operational,2024-01-20,2024-04-20,Monthly,Priva North America,555-5028,Yes,2024-01-10,2920,240,2022-10-25,Yes,2027-10-22,Yes,Yes
EQP029,Rheometer,Laboratory,Materials Testing,Anton Paar,MCR 302,ANTO2024029,2023-08-28,2026-08-28,55000,38500,0.3,Materials Lab,DEPT006,BLDG006,Operational,2024-02-22,2024-05-22,Quarterly,Anton Paar USA,555-5029,Yes,2024-02-10,1825,150,2023-08-30,Yes,2030-08-28,Yes,Yes
EQP030,Mass Spectrometer,Laboratory,Analytical,Agilent,6545 Q-TOF,AGIL2024030,2023-01-20,2026-01-20,285000,199500,0.3,Analytical Lab,DEPT007,BLDG002,Operational,2024-03-18,2024-06-18,Monthly,Agilent Technologies,555-5030,Yes,2024-03-01,8760,720,2023-01-22,Yes,2031-01-20,Yes,Yes
