form_id,form_name,form_type,department_id,form_code,version,status,required_fields,completion_time_minutes,digital_format,paper_format,multilingual_support,last_updated,created_by_employee_id,approval_required,retention_period_years,compliance_standards,usage_frequency_monthly,form_description
FORM-001,Student Admission Application,Administrative,Multiple,SAA-2024,3.2,Active,"personal_info,transcripts,test_scores,essays",45,Yes,Yes,English|Spanish|Chinese,2024-01-15,FAC-001,Yes,7,FERPA|State Education,850,Comprehensive undergraduate admission application
FORM-002,Course Registration Form,Academic,Multiple,CRF-2024,2.8,Active,"student_id,course_selections,advisor_signature",15,Yes,No,English|Spanish,2024-02-20,FAC-005,Yes,3,FERPA|Registrar,2400,Semester course enrollment and scheduling
FORM-003,Grade Change Request,Academic,Multiple,GCR-2024,1.5,Active,"student_info,course_details,reason,instructor_signature",10,Yes,Yes,English,2024-03-10,FAC-008,Yes,5,FERPA|Academic Standards,125,Official grade modification request
FORM-004,Research Proposal,Research,Multiple,RPF-2024,2.1,Active,"project_title,methodology,budget,IRB_requirements",60,Yes,Yes,English,2024-01-30,FAC-012,Yes,10,IRB|Grant Compliance,85,Comprehensive research project proposal
FORM-005,Withdrawal Request,Academic,Multiple,WRF-2024,1.9,Active,"student_info,reason,financial_implications,advisor_meeting",20,Yes,Yes,English|Spanish,2024-02-15,FAC-003,Yes,7,FERPA|Financial Aid,180,Official course or university withdrawal
FORM-006,Scholarship Application,Financial,Multiple,SFA-2024,2.4,Active,"academic_record,financial_need,essays,recommendations",40,Yes,Yes,English|Spanish,2024-01-25,FAC-015,Yes,5,FERPA|Financial Aid,520,Merit and need-based scholarship application
FORM-007,Transcript Request,Administrative,Multiple,TRF-2024,1.7,Active,"student_authorization,delivery_method,recipient_info",8,Yes,Yes,English|Spanish|Chinese,2024-03-05,FAC-020,No,3,FERPA|Privacy,680,Official academic transcript request
FORM-008,Internship Registration,Academic,Multiple,IRF-2024,2.2,Active,"company_info,learning_objectives,supervision_plan",25,Yes,Yes,English,2024-02-28,FAC-018,Yes,5,FERPA|Industry Standards,320,Experiential learning internship registration
FORM-009,Incident Report,Safety,Multiple,SIR-2024,1.8,Active,"incident_type,location,witnesses,corrective_action",15,Yes,Yes,English|Spanish,2024-01-20,FAC-025,Yes,7,Campus Safety|Title IX,45,Campus safety incident documentation
FORM-010,Thesis Proposal,Academic,Multiple,TPF-2024,2.6,Active,"research_topic,committee_members,timeline,resources",90,Yes,Yes,English,2024-03-15,FAC-030,Yes,Permanent,Graduate School Standards,95,Graduate thesis or dissertation proposal
FORM-011,Add/Drop Request,Academic,Multiple,ADR-2024,1.4,Active,"course_changes,reason,advisor_approval,date_constraints",12,Yes,No,English|Spanish,2024-02-10,FAC-007,Yes,3,FERPA|Academic Calendar,1200,Course schedule modification request
FORM-012,Financial Aid Appeal,Financial,Multiple,FAA-2024,2.3,Active,"aid_history,changed_circumstances,documentation,appeal_reason",35,Yes,Yes,English|Spanish,2024-01-18,FAC-022,Yes,5,FERPA|Federal Aid,165,Financial aid eligibility appeal process
FORM-013,Equipment Request,Administrative,Multiple,EQR-2024,1.6,Active,"equipment_type,justification,budget_code,department_approval",20,Yes,Yes,English,2024-03-08,FAC-028,Yes,3,Procurement|Budget,245,Academic equipment purchase request
FORM-014,Study Abroad Application,Academic,Multiple,SAB-2024,2.9,Active,"program_selection,academic_plan,health_forms,emergency_contacts",55,Yes,Yes,English|Program Language,2024-02-25,FAC-035,Yes,7,FERPA|International Programs,125,International study program application
FORM-015,Student Evaluation,Academic,Multiple,SEF-2024,1.3,Active,"course_rating,instructor_feedback,suggestions,demographics",10,Yes,No,English|Spanish,2024-01-28,FAC-040,No,2,FERPA|Academic Assessment,3200,Course and instructor evaluation
FORM-016,Housing Application,Student Life,Multiple,HAF-2024,2.0,Active,"housing_preferences,roommate_requests,special_needs,contract_terms",30,Yes,Yes,English|Spanish,2024-02-12,FAC-045,Yes,4,FERPA|Housing Standards,450,Campus residence hall application
FORM-017,Parking Permit,Administrative,Multiple,PPF-2024,1.2,Active,"vehicle_info,permit_type,payment_method,registration_verification",8,Yes,Yes,English|Spanish,2024-01-22,FAC-050,No,1,Campus Regulations,850,Campus parking registration and permit
FORM-018,Independent Study,Academic,Multiple,ISF-2024,2.7,Active,"study_plan,learning_objectives,faculty_sponsor,assessment_method",45,Yes,Yes,English,2024-03-12,FAC-055,Yes,5,FERPA|Academic Standards,85,Self-directed learning project proposal
FORM-019,Graduation Application,Administrative,Multiple,GAF-2024,1.9,Active,"degree_requirements,completion_verification,ceremony_participation",25,Yes,Yes,English|Spanish,2024-02-18,FAC-060,Yes,Permanent,FERPA|Degree Requirements,280,Degree completion and graduation application
FORM-020,Academic Grievance,Academic,Multiple,AGF-2024,2.1,Active,"grievance_nature,parties_involved,resolution_sought,documentation",40,Yes,Yes,English|Spanish,2024-01-05,FAC-065,Yes,7,FERPA|Due Process,35,Student academic complaint and appeal process
FORM-021,Laboratory Safety,Safety,Multiple,LSF-2024,1.8,Active,"safety_training,hazard_awareness,emergency_procedures,equipment_use",20,Yes,Yes,English|Spanish,2024-02-05,FAC-070,Yes,3,OSHA|Campus Safety,185,Research laboratory safety certification
FORM-022,Course Waiver Request,Academic,Multiple,CWR-2024,1.5,Active,"requirement_type,justification,alternative_coursework,advisor_approval",15,Yes,Yes,English,2024-03-20,FAC-075,Yes,5,FERPA|Academic Standards,95,Degree requirement substitution request
FORM-023,Technology Request,Administrative,Multiple,TRF-2024,1.7,Active,"technology_type,purpose,technical_specifications,approval_chain",18,Yes,Yes,English,2024-02-28,FAC-080,Yes,3,IT Security|Procurement,165,Educational technology access request
FORM-024,Club Registration,Student Life,Multiple,CLR-2024,2.0,Active,"organization_info,leadership_structure,advisor_assignment,activities_plan",30,Yes,Yes,English|Spanish,2024-01-15,FAC-085,Yes,4,Student Activities|Non-Profit,125,Student organization charter application
FORM-025,Medical Leave,Academic,Multiple,MLF-2024,2.5,Active,"medical_documentation,leave_duration,academic_plan,return_conditions",35,Yes,Yes,English|Spanish,2024-02-22,FAC-090,Yes,7,FERPA|ADA|Health Privacy,65,Medical absence from academic program
FORM-026,Transfer Credit,Academic,Multiple,TCF-2024,1.6,Active,"previous_coursework,transcripts,equivalency_request,degree_application",22,Yes,Yes,English|Spanish,2024-01-12,FAC-095,Yes,5,FERPA|Academic Standards,245,External coursework credit transfer
FORM-027,Tuition Payment Plan,Financial,Multiple,TPP-2024,1.4,Active,"payment_schedule,financial_information,authorization,terms_agreement",15,Yes,Yes,English|Spanish,2024-03-01,FAC-100,Yes,3,FERPA|Financial Services,385,Deferred tuition payment arrangement
FORM-028,Research Ethics,Research,Multiple,REF-2024,2.8,Active,"research_description,ethical_considerations,participant_protection,risk_assessment",50,Yes,Yes,English,2024-02-15,FAC-105,Yes,7,IRB|Human Subjects|Ethics,155,Institutional review board ethics application
FORM-029,Grade Appeal,Academic,Multiple,GPA-2024,2.2,Active,"grade_dispute,evidence,instructor_communication,appeal_grounds",30,Yes,Yes,English|Spanish,2024-01-28,FAC-110,Yes,5,FERPA|Academic Due Process,45,Student grade challenge and review process
FORM-030,Facility Reservation,Administrative,Multiple,FRF-2024,1.1,Active,"space_requirements,event_details,setup_needs,contact_information",12,Yes,Yes,English|Spanish,2024-03-18,FAC-115,No,1,Campus Facilities|Events,425,Campus space booking and reservation request
